Description	Accession
EST: ab23e06.s1 Stratagene lung (#937210) Homo sapiens cDNA clone 841666 3', mRNA sequence. (from Genbank)	RC_AA487561_at
EST: ab23e08.s1 Stratagene lung (#937210) Homo sapiens cDNA clone 841670 3', mRNA sequence. (from Genbank)	RC_AA487563_at
EST: ab23f04.s1 Stratagene lung (#937210) Homo sapiens cDNA clone 841663 3', mRNA sequence. (from Genbank)	RC_AA487570_at
EST: ab23g01.s1 Stratagene lung (#937210) Homo sapiens cDNA clone 841680 3', mRNA sequence. (from Genbank)	RC_AA487576_at
EST: ab12a04.s1 Stratagene lung (#937210) Homo sapiens cDNA clone 840558 3', mRNA sequence. (from Genbank)	RC_AA487879_at
EST: ab12d06.s1 Stratagene lung (#937210) Homo sapiens cDNA clone 840587 3', mRNA sequence. (from Genbank)	RC_AA487907_at
Cell division cycle 42 (GTP-binding protein, 25kD)	RC_AA488074_at
EST: ad08b01.s1 Soares NbHFB Homo sapiens cDNA clone 877609 3', mRNA sequence. (from Genbank)	RC_AA488166_s_at
EST: ad08c03.s1 Soares NbHFB Homo sapiens cDNA clone 877636 3', mRNA sequence. (from Genbank)	RC_AA488177_at
EST: ad08c04.s1 Soares NbHFB Homo sapiens cDNA clone 877638 3', mRNA sequence. (from Genbank)	RC_AA488178_at
Slit (Drosophila) homolog 1	RC_AA488181_s_at
EST: ad08e05.s1 Soares NbHFB Homo sapiens cDNA clone 877664 3', mRNA sequence. (from Genbank)	RC_AA488191_at
EST: ad08f06.s1 Soares NbHFB Homo sapiens cDNA clone 877667 3', mRNA sequence. (from Genbank)	RC_AA488199_at
EST: ae30b06.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897299 3', mRNA sequence. (from Genbank)	RC_AA488287_at
EST: ae30b09.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897305 3', mRNA sequence. (from Genbank)	RC_AA488289_at
EST: ab37g10.s1 Stratagene HeLa cell s3 937216 Homo sapiens cDNA clone 843042 3' similar to contains Alu repetitive element;contains element LTR1 repetitive element ;, mRNA sequence. (from Genbank)	RC_AA488411_at
EST: aa55a10.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824826 3', mRNA sequence. (from Genbank)	RC_AA488843_at
EST: aa55a11.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824828 3', mRNA sequence. (from Genbank)	RC_AA488844_f_at
Homo sapiens clone 24583 mRNA sequence	RC_AA488857_at
EST: aa55e03.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824860 3', mRNA sequence. (from Genbank)	RC_AA488872_s_at
EST: aa55f02.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824859 3', mRNA sequence. (from Genbank)	RC_AA488878_at
EST: aa55f10.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824875 3', mRNA sequence. (from Genbank)	RC_AA488885_at
EST: aa55f12.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824879 3', mRNA sequence. (from Genbank)	RC_AA488886_at
EST: aa55g04.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824886 3', mRNA sequence. (from Genbank)	RC_AA488889_at
EST: aa55h09.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824897 3', mRNA sequence. (from Genbank)	RC_AA488901_at
EST: aa54a08.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824726 3', mRNA sequence. (from Genbank)	RC_AA488978_at
Homo sapiens cell cycle-regulated factor p78 mRNA, complete cds	RC_AA488979_at
Synaptogyrin 2	RC_AA488987_s_at
EST: aa54c02.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824738 3', mRNA sequence. (from Genbank)	RC_AA488992_at
EST: aa54d11.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824757 3', mRNA sequence. (from Genbank)	RC_AA489009_at
Human pre-B cell enhancing factor (PBEF) mRNA, complete cds	RC_AA489012_at
EST: aa56b09.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824921 3', mRNA sequence. (from Genbank)	RC_AA489027_at
Aldolase B, fructose-bisphosphate	RC_AA489040_at
EST: aa56d04.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824935 3', mRNA sequence. (from Genbank)	RC_AA489041_at
EST: aa54f09.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824777 3', mRNA sequence. (from Genbank)	RC_AA489063_at
EST: aa54g05.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824792 3', mRNA sequence. (from Genbank)	RC_AA489068_at
EST: aa54g11.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824804 3', mRNA sequence. (from Genbank)	RC_AA489074_at
EST: aa54h08.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824799 3', mRNA sequence. (from Genbank)	RC_AA489080_at
EST: aa56e05.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824960 3', mRNA sequence. (from Genbank)	RC_AA489086_at
EST: aa56g08.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824990 3', mRNA sequence. (from Genbank)	RC_AA489091_at
EST: aa56h11.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824997 3', mRNA sequence. (from Genbank)	RC_AA489101_at
EST: aa56h12.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824999 3', mRNA sequence. (from Genbank)	RC_AA489102_at
Homo sapiens mRNA for KIAA0896 protein, partial cds	RC_AA489203_at
EST: aa57g04.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825078 3', mRNA sequence. (from Genbank)	RC_AA489233_at
EST: aa57h06.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825083 3', mRNA sequence. (from Genbank)	RC_AA489245_at
EST: ab41e08.s1 Stratagene HeLa cell s3 937216 Homo sapiens cDNA clone 843398 3', mRNA sequence. (from Genbank)	RC_AA489383_at
EST: ae31b11.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897405 3', mRNA sequence. (from Genbank)	RC_AA489459_at
Ribosomal protein L33-like	RC_AA489478_f_at
EST: ab41g11.s1 Stratagene HeLa cell s3 937216 Homo sapiens cDNA clone 843428 3' similar to TR:E197127 E197127 GLYOXALASE II ;, mRNA sequence. (from Genbank)	RC_AA489499_at
KIAA0764 gene product	RC_AA489620_at
EST: aa43c05.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 823688 3', mRNA sequence. (from Genbank)	RC_AA489636_at
EST: aa43e12.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 823726 3', mRNA sequence. (from Genbank)	RC_AA489655_f_at
EST: aa50a05.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824336 3', mRNA sequence. (from Genbank)	RC_AA489665_at
EST: aa50c11.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824372 3', mRNA sequence. (from Genbank)	RC_AA489687_at
EST: aa50f01.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824377 3', mRNA sequence. (from Genbank)	RC_AA489707_at
EST: ab01e12.s1 Stratagene fetal retina 937202 Homo sapiens cDNA clone 839566 3', mRNA sequence. (from Genbank)	RC_AA489790_at
EST: ab01g01.s1 Stratagene fetal retina 937202 Homo sapiens cDNA clone 839568 3', mRNA sequence. (from Genbank)	RC_AA489798_at
EST: ab05d09.s1 Stratagene fetal retina 937202 Homo sapiens cDNA clone 839921 3', mRNA sequence. (from Genbank)	RC_AA490069_at
Homo sapiens mRNA for JM5 protein, complete CDS (clone IMAGE 53337, LLNLc110F1857Q7 (RZPD Berlin) and LLNLc110G0913Q7 (RZPD Berlin))	RC_AA490107_at
EST: ab05f07.s1 Stratagene fetal retina 937202 Homo sapiens cDNA clone 839941 3', mRNA sequence. (from Genbank)	RC_AA490142_at
Glucose-6-phosphatase, transport (glucose-6-phosphate) protein 1	RC_AA490159_at
EST: ab06e01.s1 Stratagene fetal retina 937202 Homo sapiens cDNA clone 840024 3', mRNA sequence. (from Genbank)	RC_AA490182_at
Tropomyosin 1 (alpha)	RC_AA490210_at
EST: aa45g12.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 823942 3', mRNA sequence. (from Genbank)	RC_AA490214_at
EST: aa50h01.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824401 3', mRNA sequence. (from Genbank)	RC_AA490232_at
EST: aa44a02.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 823754 3', mRNA sequence. (from Genbank)	RC_AA490237_at
Aa44c01.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 823776 3' similar to SW:BENE_ACICA P07775 BENZOATE MEMBRANE TRANSPORT PROTEIN. ;, mRNA sequence. (from Genbank)	RC_AA490257_at
EST: aa44c08.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 823790 3', mRNA sequence. (from Genbank)	RC_AA490261_s_at
EST: aa44c09.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 823792 3', mRNA sequence. (from Genbank)	RC_AA490262_at
EST: aa51c06.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824458 3', mRNA sequence. (from Genbank)	RC_AA490318_s_at
EST: aa51d04.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824455 3', mRNA sequence. (from Genbank)	RC_AA490323_at
EST: aa51f05.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824481 3', mRNA sequence. (from Genbank)	RC_AA490339_at
EST: aa45a12.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 823870 3', mRNA sequence. (from Genbank)	RC_AA490461_at
EST: aa45c11.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 823892 3', mRNA sequence. (from Genbank)	RC_AA490479_at
EST: aa51g08.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824510 3' similar to SW:YHS2_YEAST P38829 HYPOTHETICAL 25.7 KD PROTEIN IN MSH1-EPT1 INTERGENIC REGION. ;, mRNA sequence. (from Genbank)	RC_AA490522_at
EST: aa47e11.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824108 3' similar to TR:G1045454 G1045454 ZINC FINGER PROTEIN. ;, mRNA sequence. (from Genbank)	RC_AA490594_at
EST: aa47f09.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824105 3', mRNA sequence. (from Genbank)	RC_AA490603_at
KIAA0569 gene product	RC_AA490605_at
EST: aa47g02.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824114 3', mRNA sequence. (from Genbank)	RC_AA490608_at
EST: aa47h07.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824125 3', mRNA sequence. (from Genbank)	RC_AA490620_at
EST: zw99f10.s1 Soares total fetus Nb2HF8 9w Homo sapiens cDNA clone 785131 3', mRNA sequence. (from Genbank)	RC_AA490670_at
EST: aa49e08.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824294 3', mRNA sequence. (from Genbank)	RC_AA490814_at
EST: aa49g01.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824304 3', mRNA sequence. (from Genbank)	RC_AA490825_at
GLYCERALDEHYDE 3-PHOSPHATE DEHYDROGENASE, LIVER	RC_AA490828_at
EST: aa48a08.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824150 3', mRNA sequence. (from Genbank)	RC_AA490863_at
EST: aa48d05.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824169 3', mRNA sequence. (from Genbank)	RC_AA490885_at
EST: aa52b01.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824521 3', mRNA sequence. (from Genbank)	RC_AA490899_at
EST: aa52b07.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824533 3', mRNA sequence. (from Genbank)	RC_AA490904_at
EST: aa52c05.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824552 3', mRNA sequence. (from Genbank)	RC_AA490911_s_at
EST: aa46e04.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:823998 3', mRNA sequence. (from Genbank)	RC_AA490930_at
EST: aa48f11.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824205 3', mRNA sequence. (from Genbank)	RC_AA490964_at
EST: aa48f12.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824207 3', mRNA sequence. (from Genbank)	RC_AA490965_at
EST: aa52g12.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824614 3' similar to TR:G1293732 G1293732 O3625P. ;, mRNA sequence. (from Genbank)	RC_AA491001_i_at
EST: aa52g12.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824614 3' similar to TR:G1293732 G1293732 O3625P. ;, mRNA sequence. (from Genbank)	RC_AA491001_f_at
EST: aa47b11.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824061 3', mRNA sequence. (from Genbank)	RC_AA491222_at
Homo sapiens mRNA for KIAA0829 protein, partial cds	RC_AA491234_at
EST: aa49a03.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824236 3', mRNA sequence. (from Genbank)	RC_AA491241_at
Homo sapiens clone 23923 mRNA sequence	RC_AA491261_at
EST: aa53c03.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824644 3', mRNA sequence. (from Genbank)	RC_AA491287_at
EST: aa53c09.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824656 3', mRNA sequence. (from Genbank)	RC_AA491291_at
Homo sapiens mRNA for KIAA0787 protein, partial cds	RC_AA491295_at
EST: aa53d06.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824651 3', mRNA sequence. (from Genbank)	RC_AA491299_at
EST: ab01d12.s1 Stratagene fetal retina 937202 Homo sapiens cDNA clone 839543 3', mRNA sequence. (from Genbank)	RC_AA491463_at
EST: ab04a05.s1 Stratagene fetal retina 937202 Homo sapiens cDNA clone 839792 3', mRNA sequence. (from Genbank)	RC_AA491465_at
EST: zw05b10.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 768379 3', mRNA sequence. (from Genbank)	RC_AA495803_at
EST: zw05c08.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 768398 3', mRNA sequence. (from Genbank)	RC_AA495811_at
EST: zw05e08.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 768422 3' similar to contains Alu repetitive element;, mRNA sequence. (from Genbank)	RC_AA495827_s_at
EST: zw05f11.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 768429 3', mRNA sequence. (from Genbank)	RC_AA495840_at
EST: zw05g09.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 768448 3', mRNA sequence. (from Genbank)	RC_AA495918_at
EST: zw05g12.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 768454 3', mRNA sequence. (from Genbank)	RC_AA495924_at
EST: zw05h01.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 768433 3', mRNA sequence. (from Genbank)	RC_AA495926_at
EST: zw05h04.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 768439 3', mRNA sequence. (from Genbank)	RC_AA495932_at
EST: zw05h07.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 768445 3', mRNA sequence. (from Genbank)	RC_AA495938_at
EST: zw06a06.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 768466 3', mRNA sequence. (from Genbank)	RC_AA495950_at
EST: zw06a08.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 768470 3', mRNA sequence. (from Genbank)	RC_AA495952_at
EST: zw06b08.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 768471 3', mRNA sequence. (from Genbank)	RC_AA495963_at
Notch (Drosophila) homolog 3	RC_AA495983_at
EST: zw06e06.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 768514 3', mRNA sequence. (from Genbank)	RC_AA495994_at
EST: zv72c09.s1 Soares total fetus Nb2HF8 9w Homo sapiens cDNA clone 759184 3', mRNA sequence. (from Genbank)	RC_AA496030_s_at
EST: zv72d06.s1 Soares total fetus Nb2HF8 9w Homo sapiens cDNA clone 759179 3', mRNA sequence. (from Genbank)	RC_AA496035_at
EST: zv72d08.s1 Soares total fetus Nb2HF8 9w Homo sapiens cDNA clone 759183 3', mRNA sequence. (from Genbank)	RC_AA496037_at
EST: zv72d09.s1 Soares total fetus Nb2HF8 9w Homo sapiens cDNA clone 759185 3', mRNA sequence. (from Genbank)	RC_AA496038_at
Homo sapiens mRNA for tob family, complete cds	RC_AA496040_at
EST: zv72e04.s1 Soares total fetus Nb2HF8 9w Homo sapiens cDNA clone 759198 3', mRNA sequence. (from Genbank)	RC_AA496045_s_at
EST: zv72e10.s1 Soares total fetus Nb2HF8 9w Homo sapiens cDNA clone 759210 3', mRNA sequence. (from Genbank)	RC_AA496048_at
EST: zv72f05.s1 Soares total fetus Nb2HF8 9w Homo sapiens cDNA clone 759201 3' similar to SW:RSP5_YEAST P39940 RSP5 PROTEIN ;, mRNA sequence. (from Genbank)	RC_AA496053_at
EST: zx70a12.s1 Soares total fetus Nb2HF8 9w Homo sapiens cDNA clone 796798 3', mRNA sequence. (from Genbank)	RC_AA496204_at
EST: zv31e09.s1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 755272 3', mRNA sequence. (from Genbank)	RC_AA496347_at
Homo sapiens SKB1Hs mRNA, complete cds	RC_AA496357_at
EST: zv37c09.s1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 755824 3', mRNA sequence. (from Genbank)	RC_AA496366_at
EST: zv37f09.s1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 755849 3', mRNA sequence. (from Genbank)	RC_AA496374_at
EST: zv38e05.s1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 755936 3', mRNA sequence. (from Genbank)	RC_AA496557_at
EST: zv38h01.s1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 755953 3', mRNA sequence. (from Genbank)	RC_AA496569_at
Histone deacetylase 5	RC_AA496574_at
Suppressor of variegation 3-9 (Drosophila) homolog	RC_AA496685_s_at
Homo sapiens mRNA for KIAA0532 protein, partial cds	RC_AA496788_at
EST: ae33h05.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897657 3', mRNA sequence. (from Genbank)	RC_AA496805_at
Homo sapiens putative oncogene protein mRNA, partial cds	RC_AA496876_at
Eukaryotic translation initiation factor 3, subunit 4 (delta, 44kD)	RC_AA496882_s_at
EST: ae33c05.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897608 3' similar to WP:F10G7.4 CE02628 DNA DOUBLE-STRAND BREAK REPAIR ;, mRNA sequence. (from Genbank)	RC_AA496891_at
EST: ae33d05.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897609 3', mRNA sequence. (from Genbank)	RC_AA496898_at
EST: ae33d12.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897623 3', mRNA sequence. (from Genbank)	RC_AA496904_at
Homo sapiens short form transcription factor C-MAF (c-maf) mRNA, complete cds	RC_AA496914_at
EST: ae32d03.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897509 3', mRNA sequence. (from Genbank)	RC_AA496936_at
EST: aa42e08.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 823622 3', mRNA sequence. (from Genbank)	RC_AA496951_at
EST: aa42f08.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 823623 3', mRNA sequence. (from Genbank)	RC_AA496961_at
EST: aa42f10.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 823627 3', mRNA sequence. (from Genbank)	RC_AA496963_at
KIAA0331 gene product	RC_AA496980_at
EST: ae32e11.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897548 3' similar to WP:ZK512.2 CE03821 RNA HELICASE ;, mRNA sequence. (from Genbank)	RC_AA496999_at
EST: ae32f03.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897533 3', mRNA sequence. (from Genbank)	RC_AA497003_at
Homo sapiens mRNA for Epsilon COP	RC_AA497015_at
EST: ae32g06.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897562 3', mRNA sequence. (from Genbank)	RC_AA497016_at
EST: ae32h05.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897561 3', mRNA sequence. (from Genbank)	RC_AA497026_at
EST: ae32h12.s1 Gessler Wilms tumor Homo sapiens cDNA clone 897575 3', mRNA sequence. (from Genbank)	RC_AA497031_at
EST: aa42c02.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 823586 3', mRNA sequence. (from Genbank)	RC_AA497049_at
EST: aa42c03.s1 Soares NhHMPu S1 Homo sapiens cDNA clone 823588 3', mRNA sequence. (from Genbank)	RC_AA497050_at
EST: aa59a08.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825206 3', mRNA sequence. (from Genbank)	RC_AA504110_at
EST: aa59e01.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825240 3', mRNA sequence. (from Genbank)	RC_AA504144_at
Human Chromosome 16 BAC clone CIT987SK-A-635H12	RC_AA504145_at
EST: aa59e06.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825250 3', mRNA sequence. (from Genbank)	RC_AA504146_at
EST: aa59e07.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825252 3', mRNA sequence. (from Genbank)	RC_AA504147_s_at
EST: aa59h10.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825283 3', mRNA sequence. (from Genbank)	RC_AA504210_at
EST: aa61a07.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825396 3' similar to WP:C30A5.3 CE00092 ;, mRNA sequence. (from Genbank)	RC_AA504251_at
EST: aa61c10.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825426 3', mRNA sequence. (from Genbank)	RC_AA504270_at
EST: aa61e03.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825436 3', mRNA sequence. (from Genbank)	RC_AA504324_at
EST: aa61e12.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825454 3', mRNA sequence. (from Genbank)	RC_AA504332_at
EST: aa61f02.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825435 3', mRNA sequence. (from Genbank)	RC_AA504334_at
HEAT SHOCK 70 KD PROTEIN 1	RC_AA504467_at
EST: aa60e03.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825340 3', mRNA sequence. (from Genbank)	RC_AA504485_at
EST: aa60f03.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825341 3', mRNA sequence. (from Genbank)	RC_AA504496_at
EST: aa60g07.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825372 3', mRNA sequence. (from Genbank)	RC_AA504507_at
EST: aa60h02.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825363 3', mRNA sequence. (from Genbank)	RC_AA504513_at
EST: aa63d02.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825603 3', mRNA sequence. (from Genbank)	RC_AA504631_at
EST: aa63e04.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825630 3', mRNA sequence. (from Genbank)	RC_AA504642_at
EST: aa63f03.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825629 3', mRNA sequence. (from Genbank)	RC_AA504648_at
Homo sapiens mRNA for KIAA0788 protein, partial cds	RC_AA504801_at
EST: aa64a06.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825682 3', mRNA sequence. (from Genbank)	RC_AA504803_at
Ribosomal protein L14	RC_AA504814_at
EST: aa64e01.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825720 3', mRNA sequence. (from Genbank)	RC_AA504835_at
EST: ab03d12.s1 Stratagene fetal retina 937202 Homo sapiens cDNA clone 839735 3', mRNA sequence. (from Genbank)	RC_AA504890_at
KIAA0677 gene product	RC_AA505063_at
EST: aa63h01.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825649 3', mRNA sequence. (from Genbank)	RC_AA505067_at
EST: aa64g12.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825766 3', mRNA sequence. (from Genbank)	RC_AA505095_at
EST: aa65b09.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825785 3', mRNA sequence. (from Genbank)	RC_AA505117_at
EST: aa65d11.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825813 3', mRNA sequence. (from Genbank)	RC_AA505136_at
EST: aa65e04.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825822 3', mRNA sequence. (from Genbank)	RC_AA505141_at
EST: aa70b12.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:826271 3', mRNA sequence. (from Genbank)	RC_AA520989_at
EST: aa70c08.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:826286 3', mRNA sequence. (from Genbank)	RC_AA520996_at
EST: aa72a05.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:826448 3', mRNA sequence. (from Genbank)	RC_AA521073_at
EST: aa72d11.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:826485 3', mRNA sequence. (from Genbank)	RC_AA521097_at
EST: aa70g03.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:826324 3', mRNA sequence. (from Genbank)	RC_AA521103_at
EST: aa70h12.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:826343 3' similar to WP:C09F5.2 CE01774 ;, mRNA sequence. (from Genbank)	RC_AA521111_at
EST: aa71h03.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:826421 3', mRNA sequence. (from Genbank)	RC_AA521121_at
EST: aa73b05.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:826545 3', mRNA sequence. (from Genbank)	RC_AA521144_at
EST: aa73c10.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:826578 3', mRNA sequence. (from Genbank)	RC_AA521157_at
EST: aa73d12.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:826583 3', mRNA sequence. (from Genbank)	RC_AA521165_at
EST: aa74c01.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:826656 3', mRNA sequence. (from Genbank)	RC_AA521195_at
EST: aa74c10.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:826674 3', mRNA sequence. (from Genbank)	RC_AA521201_at
EST: aa75e08.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:826790 3', mRNA sequence. (from Genbank)	RC_AA521262_at
EST: aa79e03.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:827164 3', mRNA sequence. (from Genbank)	RC_AA521290_at
EST: aa79e05.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:827168 3', mRNA sequence. (from Genbank)	RC_AA521292_at
EST: aa79e10.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:827178 3', mRNA sequence. (from Genbank)	RC_AA521295_at
EST: aa79g06.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:827194 3', mRNA sequence. (from Genbank)	RC_AA521306_at
