year,age,maritl,race,education,region,jobclass,health,health_ins,salario_alto
2005,56,Married,Asian,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,No,No
2004,46,Divorced,Black,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2003,49,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,24,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2009,48,Never Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,37,Divorced,White,College Grad,Middle Atlantic,Industrial,<=Good,No,No
2007,53,Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,Si
2004,56,Married,Black,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,34,Married,Black,Some College,Middle Atlantic,Information,>=Very Good,No,No
2004,56,Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2006,48,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,47,Married,Black,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,52,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2009,40,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2008,25,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,35,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,40,Never Married,Black,Some College,Middle Atlantic,Information,<=Good,Yes,No
2009,22,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,50,Divorced,White,Some College,Middle Atlantic,Information,<=Good,Yes,No
2008,48,Separated,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2007,40,Never Married,Asian,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,45,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,30,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,46,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2008,34,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2007,32,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2004,53,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2008,32,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2004,39,Married,Black,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2007,51,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,40,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2009,66,Married,White,College Grad,Middle Atlantic,Information,<=Good,Yes,Si
2006,40,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,52,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,No,Si
2007,36,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,32,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2008,45,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2006,37,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,47,Married,Asian,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,49,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,53,Married,White,< HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2007,66,Divorced,Black,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2006,33,Married,White,< HS Grad,Middle Atlantic,Information,<=Good,No,No
2004,58,Divorced,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2008,41,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,No,No
2009,54,Married,Asian,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,26,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2008,24,Never Married,Other,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2007,62,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,Si
2005,63,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,26,Never Married,Asian,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,45,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2003,23,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2008,31,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2003,44,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,43,Never Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2004,48,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2008,48,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,55,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,No,Si
2004,45,Married,Asian,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,48,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,63,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,57,Married,Black,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2008,69,Married,Asian,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,31,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,38,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,43,Separated,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,19,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2005,44,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2007,31,Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,No,Si
2004,49,Never Married,Other,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,29,Married,White,Some College,Middle Atlantic,Information,<=Good,Yes,No
2008,26,Married,Other,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2007,37,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,30,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2009,35,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,40,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,44,Divorced,Other,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2004,65,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2007,54,Married,Black,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,56,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2008,48,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2009,37,Divorced,White,Some College,Middle Atlantic,Industrial,<=Good,No,No
2005,30,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,46,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,No,No
2009,37,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2005,58,Divorced,Black,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2007,52,Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2006,45,Married,White,Some College,Middle Atlantic,Information,<=Good,Yes,Si
2008,33,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2004,51,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2008,50,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2006,42,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2004,46,Never Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,Si
2005,43,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,47,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,47,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,No,Si
2004,44,Married,White,College Grad,Middle Atlantic,Information,<=Good,No,No
2008,36,Married,Asian,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2008,39,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2003,29,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,40,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,20,Never Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2004,32,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2003,36,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,31,Never Married,Black,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,28,Married,Asian,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,41,Divorced,Other,Some College,Middle Atlantic,Information,<=Good,Yes,Si
2004,54,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,42,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2003,19,Never Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2009,59,Married,White,Some College,Middle Atlantic,Information,<=Good,No,Si
2003,64,Never Married,White,Some College,Middle Atlantic,Information,<=Good,Yes,No
2003,31,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,37,Never Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2004,30,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,24,Never Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,26,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2004,44,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2008,39,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,48,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,53,Never Married,Black,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2004,42,Married,Asian,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2009,44,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,25,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,46,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2003,52,Married,White,Some College,Middle Atlantic,Information,>=Very Good,No,No
2008,33,Married,White,Some College,Middle Atlantic,Information,<=Good,Yes,No
2007,30,Married,Black,Some College,Middle Atlantic,Information,>=Very Good,No,Si
2007,38,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,29,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2008,57,Married,Asian,College Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2003,50,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,23,Never Married,White,Some College,Middle Atlantic,Industrial,<=Good,No,No
2006,46,Divorced,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,61,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2007,70,Married,White,< HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2009,59,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2003,57,Married,Black,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2003,25,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2005,48,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,52,Married,Asian,Advanced Degree,Middle Atlantic,Information,<=Good,No,No
2009,44,Separated,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,40,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,43,Married,White,College Grad,Middle Atlantic,Information,<=Good,Yes,Si
2005,51,Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,Si
2003,43,Married,Asian,< HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2003,42,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2008,28,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,54,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,No,Si
2005,34,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,50,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,36,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,36,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,71,Widowed,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,Si
2006,31,Never Married,Asian,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2005,43,Married,White,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,Si
2007,20,Never Married,White,Some College,Middle Atlantic,Industrial,<=Good,No,No
2007,23,Never Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,42,Divorced,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2005,41,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,27,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,29,Married,White,Some College,Middle Atlantic,Industrial,<=Good,No,No
2008,41,Divorced,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2003,41,Married,Black,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2003,22,Never Married,White,Some College,Middle Atlantic,Information,<=Good,No,No
2003,39,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2008,50,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2006,49,Never Married,White,College Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2003,42,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,38,Married,Black,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,55,Married,White,College Grad,Middle Atlantic,Information,<=Good,No,Si
2005,47,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2007,52,Married,Other,< HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2009,56,Divorced,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2007,30,Married,White,Some College,Middle Atlantic,Information,>=Very Good,No,Si
2005,56,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,Si
2003,46,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2009,43,Married,White,< HS Grad,Middle Atlantic,Information,>=Very Good,No,Si
2003,35,Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,Si
2009,58,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2009,69,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2006,68,Divorced,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2004,52,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,46,Never Married,Black,College Grad,Middle Atlantic,Information,<=Good,Yes,No
2007,39,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2009,66,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,No,No
2005,30,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,30,Divorced,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,43,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2008,49,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,54,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,48,Divorced,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,37,Separated,Black,Some College,Middle Atlantic,Information,>=Very Good,No,No
2007,46,Married,White,College Grad,Middle Atlantic,Information,<=Good,Yes,Si
2007,53,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2009,31,Never Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,18,Never Married,White,Some College,Middle Atlantic,Information,>=Very Good,No,No
2003,49,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,39,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,40,Married,White,HS Grad,Middle Atlantic,Information,<=Good,No,No
2008,37,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2006,24,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,35,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2007,27,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,44,Never Married,Asian,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,46,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2005,40,Married,White,Some College,Middle Atlantic,Information,<=Good,No,No
2007,39,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,42,Never Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2003,37,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,58,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,40,Married,Asian,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,27,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2003,31,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2008,44,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,38,Divorced,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,34,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,Si
2005,41,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,20,Never Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2008,28,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,55,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2008,38,Married,White,College Grad,Middle Atlantic,Information,<=Good,No,Si
2005,33,Never Married,Black,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2009,43,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2006,50,Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,55,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,24,Never Married,Black,Some College,Middle Atlantic,Information,>=Very Good,No,No
2008,41,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,37,Divorced,White,College Grad,Middle Atlantic,Information,<=Good,No,Si
2005,42,Married,White,Some College,Middle Atlantic,Information,<=Good,Yes,Si
2004,25,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,45,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,40,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,43,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,50,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,42,Never Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2003,38,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2006,44,Divorced,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,19,Never Married,White,Some College,Middle Atlantic,Industrial,<=Good,No,No
2004,44,Never Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,26,Never Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,54,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2006,32,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,49,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,35,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2007,34,Married,White,< HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2003,23,Never Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2008,60,Married,Asian,Some College,Middle Atlantic,Information,<=Good,Yes,Si
2006,54,Married,White,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,No
2003,31,Married,Black,Some College,Middle Atlantic,Information,>=Very Good,No,Si
2006,47,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,Si
2003,48,Divorced,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2005,48,Married,White,College Grad,Middle Atlantic,Information,<=Good,Yes,Si
2004,35,Married,White,HS Grad,Middle Atlantic,Information,<=Good,No,No
2006,55,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,35,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,37,Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,27,Never Married,Black,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2007,64,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,52,Divorced,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2007,47,Separated,Black,< HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2003,26,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2005,41,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2009,22,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,76,Married,White,Some College,Middle Atlantic,Industrial,<=Good,No,No
2006,46,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2006,39,Married,Black,Some College,Middle Atlantic,Industrial,<=Good,Yes,Si
2006,39,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,23,Never Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2006,49,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,44,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2006,20,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2005,43,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,42,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,46,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2009,33,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,62,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,38,Married,White,Some College,Middle Atlantic,Information,<=Good,Yes,Si
2005,43,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2005,46,Divorced,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,18,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2009,63,Married,White,Advanced Degree,Middle Atlantic,Information,<=Good,No,Si
2006,43,Never Married,Black,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,44,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,53,Never Married,Black,Some College,Middle Atlantic,Information,<=Good,Yes,Si
2008,58,Never Married,White,< HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2003,23,Never Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2004,50,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,35,Never Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,38,Married,White,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,Si
2004,36,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2005,32,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,56,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,41,Married,White,Some College,Middle Atlantic,Information,>=Very Good,No,No
2004,40,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2004,26,Never Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2006,26,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,47,Divorced,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2007,25,Never Married,Black,College Grad,Middle Atlantic,Information,>=Very Good,No,No
2006,58,Married,Black,Some College,Middle Atlantic,Information,<=Good,No,Si
2008,57,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2003,30,Never Married,White,< HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2007,44,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,29,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2007,51,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,No,Si
2006,37,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2004,67,Married,Asian,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,Si
2009,34,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,50,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,38,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2008,55,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,27,Never Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,Si
2007,39,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2007,54,Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,Si
2008,55,Divorced,White,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,Si
2003,49,Married,Black,Some College,Middle Atlantic,Information,<=Good,No,Si
2003,42,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2005,39,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,32,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,39,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,50,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,47,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,40,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2006,51,Never Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,28,Married,Asian,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2007,53,Divorced,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,54,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,51,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2008,33,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,No,Si
2008,55,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2003,44,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,30,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,40,Married,Asian,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,No
2007,26,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
